family,genus,species
Pinaceae,Abies,Abies alba
Sapindaceae,Acer,Acer campestre
Sapindaceae,Acer,Acer platanoides
Sapindaceae,Acer,Acer pseudoplatanus
Asteraceae,Achillea,Achillea millefolium
Asteraceae,Achillea,Achillea ptarmica
Apiaceae,Aegopodium,Aegopodium podagraria
Rosaceae,Agrimonia,Agrimonia eupatoria
Poaceae,Agrostis,Agrostis capillaris
Poaceae,Agrostis,Agrostis gigantea
Poaceae,Agrostis,Agrostis stolonifera
Lamiaceae,Ajuga,Ajuga reptans
Alismataceae,Alisma,Alisma plantago-aquatica
Brassicaceae,Alliaria,Alliaria petiolata
Amaryllidaceae,Allium,Allium oleraceum
Betulaceae,Alnus,Alnus glutinosa
Betulaceae,Alnus,Alnus incana
Poaceae,Alopecurus,Alopecurus geniculatus
Poaceae,Alopecurus,Alopecurus pratensis
Ranunculaceae,Anemone,Anemone nemorosa
Ranunculaceae,Anemone,Anemone ranunculoides
Apiaceae,Angelica,Angelica sylvestris
Poaceae,Anthoxanthum,Anthoxanthum odoratum
Apiaceae,Anthriscus,Anthriscus sylvestris
Caryophyllaceae,Arenaria,Arenaria serpyllifolia
Rosaceae,Argentina,Argentina anserina
Poaceae,Arrhenatherum,Arrhenatherum elatius
Athyriaceae,Athyrium,Athyrium filix-femina
Asteraceae,Bellis,Bellis perennis
Betulaceae,Betula,Betula pubescens
Cyperaceae,Blysmus,Blysmus compressus
Poaceae,Brachypodium,Brachypodium sylvaticum
Brachytheciaceae,Brachythecium,Brachythecium rutabulum
Poaceae,Calamagrostis,Calamagrostis canescens
Pylaisiaceae,Calliergonella,Calliergonella cuspidata
Ranunculaceae,Caltha,Caltha palustris
Convolvulaceae,Calystegia,Calystegia sepium
Campanulaceae,Campanula,Campanula rotundifolia
Brassicaceae,Capsella,Capsella bursa-pastoris
Brassicaceae,Cardamine,Cardamine amara
Brassicaceae,Cardamine,Cardamine pratensis
Cyperaceae,Carex,Carex acuta
Cyperaceae,Carex,Carex acutiformis
Cyperaceae,Carex,Carex cespitosa
Cyperaceae,Carex,Carex disticha
Cyperaceae,Carex,Carex divulsa
Cyperaceae,Carex,Carex echinata
Cyperaceae,Carex,Carex elata
Cyperaceae,Carex,Carex hirta
Cyperaceae,Carex,Carex leporina
Cyperaceae,Carex,Carex nigra
Cyperaceae,Carex,Carex paniculata
Cyperaceae,Carex,Carex remota
Cyperaceae,Carex,Carex riparia
Cyperaceae,Carex,Carex rostrata
Cyperaceae,Carex,Carex sylvatica
Cyperaceae,Carex,Carex vesicaria
Betulaceae,Carpinus,Carpinus betulus
Asteraceae,Centaurea,Centaurea jacea
Asteraceae,Centaurea,Centaurea scabiosa
Caryophyllaceae,Cerastium,Cerastium fontanum
Caryophyllaceae,Cerastium,Cerastium holosteoides
Apiaceae,Chaerophyllum,Chaerophyllum temulum
Onagraceae,Chamaenerion,Chamaenerion angustifolium
Saxifragaceae,Chrysosplenium,Chrysosplenium alternifolium
Saxifragaceae,Chrysosplenium,Chrysosplenium oppositifolium
Asteraceae,Cichorium,Cichorium intybus
Apiaceae,Cicuta,Cicuta virosa
Onagraceae,Circaea,Circaea lutetiana
Asteraceae,Cirsium,Cirsium arvense
Asteraceae,Cirsium,Cirsium oleraceum
Asteraceae,Cirsium,Cirsium palustre
Climaciaceae,Climacium,Climacium dendroides
Betulaceae,Corylus,Corylus avellana
Rosaceae,Crataegus,Crataegus laevigata
Rosaceae,Crataegus,Crataegus monogyna
Asteraceae,Crepis,Crepis paludosa
Poaceae,Cynosurus,Cynosurus cristatus
Poaceae,Dactylis,Dactylis glomerata
Orchidaceae,Dactylorhiza,Dactylorhiza incarnata
